City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Fairbanks,US,2022-02-13 04:09:26,64.8378,-147.7164,7.83,77,100,0.0
96,Souillac,MU,2022-02-13 04:09:26,-20.5167,57.5167,82.36,81,25,12.95
97,Arraial Do Cabo,BR,2022-02-13 04:04:18,-22.9661,-42.0278,74.44,84,41,3.74
98,Abu Dhabi,AE,2022-02-13 04:09:27,24.4667,54.3667,68.11,66,40,14.97
99,Yellowknife,CA,2022-02-13 03:59:34,62.456,-114.3525,-12.59,82,100,12.66
100,Caucaia,BR,2022-02-13 04:09:28,-3.7361,-38.6531,82.04,74,20,6.91
101,Nabire,ID,2022-02-13 04:09:29,-3.3667,135.4833,82.94,77,97,2.06
102,Salmo,CA,2022-02-13 04:09:29,49.1999,-117.2689,32.88,95,76,4.23
103,Byron Bay,AU,2022-02-13 04:00:53,-28.65,153.6167,78.75,78,86,13.65
104,Broken Hill,AU,2022-02-13 04:09:30,-31.95,141.4333,93.65,19,83,10.83
105,Vostok,RU,2022-02-13 04:02:19,46.4856,135.8833,10.36,88,100,4.09
106,Ixtapa,MX,2022-02-13 04:09:30,20.7,-105.2,67.23,88,0,0.0
107,Tashigang,BT,2022-02-13 04:09:31,27.3331,91.5542,62.98,18,0,3.89
108,Benjamin Constant,BR,2022-02-13 04:09:32,-4.3831,-70.0311,77.13,99,96,0.81
109,Pleshanovo,RU,2022-02-13 04:09:32,52.8333,53.4833,20.57,96,100,6.11
110,Margate,GB,2022-02-13 04:09:33,51.3813,1.3862,45.3,83,100,10.0
111,Ponta Do Sol,PT,2022-02-13 04:09:33,32.6667,-17.1,63.05,68,12,5.57
112,Kanashevo,RU,2022-02-13 04:09:34,55.2169,62.0634,10.96,99,85,4.92
113,Roald,NO,2022-02-13 04:09:34,62.5833,6.1333,44.33,81,75,14.97
114,Jamestown,US,2022-02-13 04:04:00,42.097,-79.2353,21.09,61,100,5.75
115,Cayenne,GF,2022-02-13 04:09:35,4.9333,-52.3333,79.09,87,75,2.3
116,Matamoros,MX,2022-02-13 04:09:36,25.5333,-103.25,60.91,23,75,4.61
117,Pangnirtung,CA,2022-02-13 04:09:37,66.1451,-65.7125,-23.31,99,100,3.33
